U.S. President, , ,11 of 11 Precincts Reported
Hillary Clinton,Democratic,799,40.75%
Henry Hewes,Democratic,0,0.00%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,"1,153",58.80%
Keith Judd,Democratic,1,0.05%
Willie L. Wilson,Democratic,0,0.00%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,1,0.05%
Uncommitted,Democratic,7,0.36%
 ,Party Total:,"1,961", 
 , , , 
Chris Christie,Republican,3,0.09%
Jeb Bush,Republican,16,0.46%
Ben Carson,Republican,34,0.98%
Donald J. Trump,Republican,"1,404",40.39%
Marco Rubio,Republican,299,8.60%
Ted Cruz,Republican,"1,164",33.49%
Rick Santorum,Republican,1,0.03%
Carly Fiorina,Republican,3,0.09%
John R. Kasich,Republican,513,14.76%
Rand Paul,Republican,7,0.20%
Jim Lynch,Republican,0,0.00%
Mike Huckabee,Republican,21,0.60%
Uncommitted,Republican,11,0.32%
 ,Party Total:,"3,476", 
 , , , 
Austin Petersen,Libertarian,2,25.00%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,2,25.00%
Uncommitted,Libertarian,4,50.00%
 ,Party Total:,8, 
 , , , 
Uncommitted,Constitution,2,100.00%
 ,Total Votes:,"5,447", 
 , , , 
,,,
U.S. President, , ,20 of 20 Precincts Reported
Hillary Clinton,Democratic,498,39.94%
Henry Hewes,Democratic,0,0.00%
"Roque ""Rocky"" De La Fuente",Democratic,1,0.08%
Bernie Sanders,Democratic,728,58.38%
Keith Judd,Democratic,2,0.16%
Willie L. Wilson,Democratic,2,0.16%
Martin J. O'Malley,Democratic,1,0.08%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,3,0.24%
Uncommitted,Democratic,12,0.96%
 ,Party Total:,"1,247", 
 , , , 
Chris Christie,Republican,14,0.40%
Jeb Bush,Republican,18,0.52%
Ben Carson,Republican,43,1.23%
Donald J. Trump,Republican,"1,457",41.70%
Marco Rubio,Republican,221,6.33%
Ted Cruz,Republican,"1,290",36.92%
Rick Santorum,Republican,3,0.09%
Carly Fiorina,Republican,5,0.14%
John R. Kasich,Republican,404,11.56%
Rand Paul,Republican,8,0.23%
Jim Lynch,Republican,1,0.03%
Mike Huckabee,Republican,16,0.46%
Uncommitted,Republican,14,0.40%
 ,Party Total:,"3,494", 
 , , , 
Austin Petersen,Libertarian,1,50.00%
Steven Elliott (Steve) Kerbel,Libertarian,1,50.00%
Rhett Rosenquest Smith,Libertarian,0,0.00%
Cecil Ince,Libertarian,0,0.00%
Marc Allan Feldman,Libertarian,0,0.00%
Uncommitted,Libertarian,0,0.00%
 ,Party Total:,2, 
 , , , 
Uncommitted,Constitution,0,0.00%
 ,Total Votes:,"4,743", 
 , , , 
,,,
U.S. President, , ,6 of 6 Precincts Reported
Hillary Clinton,Democratic,141,44.48%
Henry Hewes,Democratic,0,0.00%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.00%
Bernie Sanders,Democratic,173,54.57%
Keith Judd,Democratic,0,0.00%
Willie L. Wilson,Democratic,1,0.32%
Martin J. O'Malley,Democratic,0,0.00%
John Wolfe,Democratic,0,0.00%
Jon Adams,Democratic,0,0.00%
Uncommitted,Democratic,2,0.63%
 ,Party Total:,317, 
 , , , 
Chris Christie,Republican,0,0.00%
Jeb Bush,Republican,4,0.36%
Ben Carson,Republican,24,2.15%
Donald J. Trump,Republican,487,43.68%
